NumTechs 1
Tech TA 221
LibCell MC1 382 33
LibCell MC2 88 33
LibCell MC3 142 33
LibCell MC4 109 33
LibCell MC5 118 33
LibCell MC6 90 33
LibCell MC7 384 33
LibCell MC8 63 33
LibCell MC9 142 33
LibCell MC10 308 33
LibCell MC11 234 33
LibCell MC12 119 33
LibCell MC13 252 33
LibCell MC14 264 33
LibCell MC15 96 33
LibCell MC16 109 33
LibCell MC17 111 33
LibCell MC18 88 33
LibCell MC19 152 33
LibCell MC20 91 33
LibCell MC21 238 33
LibCell MC22 59 33
LibCell MC23 94 33
LibCell MC24 128 33
LibCell MC25 152 33
LibCell MC26 143 33
LibCell MC27 152 33
LibCell MC28 90 33
LibCell MC29 112 33
LibCell MC30 71 33
LibCell MC31 82 33
LibCell MC32 114 33
LibCell MC33 93 33
LibCell MC34 86 33
LibCell MC35 170 33
LibCell MC36 110 33
LibCell MC37 89 33
LibCell MC38 89 33
LibCell MC39 125 33
LibCell MC40 224 33
LibCell MC41 228 33
LibCell MC42 170 33
LibCell MC43 159 33
LibCell MC44 188 33
LibCell MC45 86 33
LibCell MC46 192 33
LibCell MC47 344 33
LibCell MC48 280 33
LibCell MC49 150 33
LibCell MC50 55 33
LibCell MC51 78 33
LibCell MC52 105 33
LibCell MC53 105 33
LibCell MC54 158 33
LibCell MC55 85 33
LibCell MC56 176 33
LibCell MC57 167 33
LibCell MC58 115 33
LibCell MC59 96 33
LibCell MC60 560 33
LibCell MC61 66 33
LibCell MC62 77 33
LibCell MC63 144 33
LibCell MC64 80 33
LibCell MC65 230 33
LibCell MC66 99 33
LibCell MC67 130 33
LibCell MC68 214 33
LibCell MC69 184 33
LibCell MC70 88 33
LibCell MC71 200 33
LibCell MC72 123 33
LibCell MC73 87 33
LibCell MC74 102 33
LibCell MC75 172 33
LibCell MC76 74 33
LibCell MC77 140 33
LibCell MC78 162 33
LibCell MC79 66 33
LibCell MC80 175 33
LibCell MC81 72 33
LibCell MC82 128 33
LibCell MC83 90 33
LibCell MC84 187 33
LibCell MC85 116 33
LibCell MC86 262 33
LibCell MC87 66 33
LibCell MC88 336 33
LibCell MC89 236 33
LibCell MC90 290 33
LibCell MC91 190 33
LibCell MC92 94 33
LibCell MC93 166 33
LibCell MC94 66 33
LibCell MC95 83 33
LibCell MC96 112 33
LibCell MC97 222 33
LibCell MC98 144 33
LibCell MC99 93 33
LibCell MC100 322 33
LibCell MC101 241 33
LibCell MC102 76 33
LibCell MC103 235 33
LibCell MC104 190 33
LibCell MC105 120 33
LibCell MC106 89 33
LibCell MC107 75 33
LibCell MC108 67 33
LibCell MC109 69 33
LibCell MC110 77 33
LibCell MC111 346 33
LibCell MC112 78 33
LibCell MC113 147 33
LibCell MC114 222 33
LibCell MC115 86 33
LibCell MC116 148 33
LibCell MC117 96 33
LibCell MC118 74 33
LibCell MC119 97 33
LibCell MC120 113 33
LibCell MC121 203 33
LibCell MC122 173 33
LibCell MC123 260 33
LibCell MC124 88 33
LibCell MC125 111 33
LibCell MC126 115 33
LibCell MC127 132 33
LibCell MC128 94 33
LibCell MC129 115 33
LibCell MC130 90 33
LibCell MC131 232 33
LibCell MC132 284 33
LibCell MC133 137 33
LibCell MC134 380 33
LibCell MC135 204 33
LibCell MC136 286 33
LibCell MC137 149 33
LibCell MC138 113 33
LibCell MC139 92 33
LibCell MC140 134 33
LibCell MC141 85 33
LibCell MC142 77 33
LibCell MC143 75 33
LibCell MC144 135 33
LibCell MC145 61 33
LibCell MC146 208 33
LibCell MC147 81 33
LibCell MC148 89 33
LibCell MC149 79 33
LibCell MC150 127 33
LibCell MC151 270 33
LibCell MC152 86 33
LibCell MC153 97 33
LibCell MC154 93 33
LibCell MC155 176 33
LibCell MC156 140 33
LibCell MC157 88 33
LibCell MC158 65 33
LibCell MC159 166 33
LibCell MC160 121 33
LibCell MC161 107 33
LibCell MC162 84 33
LibCell MC163 242 33
LibCell MC164 74 33
LibCell MC165 74 33
LibCell MC166 166 33
LibCell MC167 84 33
LibCell MC168 68 33
LibCell MC169 94 33
LibCell MC170 186 33
LibCell MC171 89 33
LibCell MC172 91 33
LibCell MC173 78 33
LibCell MC174 132 33
LibCell MC175 78 33
LibCell MC176 101 33
LibCell MC177 96 33
LibCell MC178 142 33
LibCell MC179 88 33
LibCell MC180 84 33
LibCell MC181 180 33
LibCell MC182 82 33
LibCell MC183 75 33
LibCell MC184 141 33
LibCell MC185 99 33
LibCell MC186 89 33
LibCell MC187 218 33
LibCell MC188 121 33
LibCell MC189 307 33
LibCell MC190 85 33
LibCell MC191 102 33
LibCell MC192 222 33
LibCell MC193 93 33
LibCell MC194 278 33
LibCell MC195 81 33
LibCell MC196 274 33
LibCell MC197 230 33
LibCell MC198 134 33
LibCell MC199 96 33
LibCell MC200 98 33
LibCell MC201 250 33
LibCell MC202 208 33
LibCell MC203 286 33
LibCell MC204 134 33
LibCell MC205 164 33
LibCell MC206 158 33
LibCell MC207 149 33
LibCell MC208 85 33
LibCell MC209 147 33
LibCell MC210 67 33
LibCell MC211 94 33
LibCell MC212 140 33
LibCell MC213 46 33
LibCell MC214 242 33
LibCell MC215 92 33
LibCell MC216 157 33
LibCell MC217 98 33
LibCell MC218 11319 8580
LibCell MC219 11616 8448
LibCell MC220 11352 8679
LibCell MC221 50 33

DieSize 23000 19000
DieA TA 80
DieB TA 80

NumCells 13907
Cell C1 MC1
Cell C2 MC2
Cell C3 MC3
Cell C4 MC4
Cell C5 MC5
Cell C6 MC6
Cell C7 MC7
Cell C8 MC8
Cell C9 MC9
Cell C10 MC2
Cell C11 MC10
Cell C12 MC11
Cell C13 MC12
Cell C14 MC13
Cell C15 MC14
Cell C16 MC10
Cell C17 MC15
Cell C18 MC16
Cell C19 MC17
Cell C20 MC18
Cell C21 MC19
Cell C22 MC20
Cell C23 MC18
Cell C24 MC21
Cell C25 MC22
Cell C26 MC14
Cell C27 MC23
Cell C28 MC24
Cell C29 MC12
Cell C30 MC25
Cell C31 MC3
Cell C32 MC17
Cell C33 MC26
Cell C34 MC27
Cell C35 MC16
Cell C36 MC28
Cell C37 MC14
Cell C38 MC1
Cell C39 MC29
Cell C40 MC30
Cell C41 MC31
Cell C42 MC32
Cell C43 MC33
Cell C44 MC34
Cell C45 MC20
Cell C46 MC35
Cell C47 MC18
Cell C48 MC36
Cell C49 MC37
Cell C50 MC10
Cell C51 MC34
Cell C52 MC36
Cell C53 MC38
Cell C54 MC39
Cell C55 MC40
Cell C56 MC16
Cell C57 MC41
Cell C58 MC42
Cell C59 MC18
Cell C60 MC43
Cell C61 MC44
Cell C62 MC45
Cell C63 MC10
Cell C64 MC46
Cell C65 MC36
Cell C66 MC47
Cell C67 MC12
Cell C68 MC20
Cell C69 MC48
Cell C70 MC3
Cell C71 MC5
Cell C72 MC45
Cell C73 MC35
Cell C74 MC40
Cell C75 MC20
Cell C76 MC39
Cell C77 MC49
Cell C78 MC50
Cell C79 MC35
Cell C80 MC24
Cell C81 MC51
Cell C82 MC52
Cell C83 MC53
Cell C84 MC54
